Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_007536129.1,37927,38263,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676196.1,38567,38300,-
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676197.1,38842,39802,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_003525125.1,39943,40048,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_076612145.1,40200,40949,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676198.1,41053,42061,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676199.1,42836,43811,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676200.1,44095,44239,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_192886500.1,44343,44937,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676202.1,44936,46610,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676203.1,47425,48034,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676204.1,48058,49732,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676205.1,50254,50857,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_018431447.1,50868,51271,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676206.1,51397,56497,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_107676207.1,56645,56903,+
WP_192886500.1,Agrobacterium sp. LAD9,NZ_PHGS01000013.1,WP_371412713.1,57000,57312,+
